timestamp,topic,endOffset,committedOffset,consumerLogEndOffset,consumerLag
1786657972650,nexmark-auction,0,0,0,0
1786657972650,nexmark-bid,0,0,0,0
1786657988889,nexmark-auction,44399,44399,75019,30620
1786657988889,nexmark-bid,868353,680601,1149981,469380
1786658005187,nexmark-auction,142383,166879,173003,6124
1786658005187,nexmark-bid,2459231,2558121,2651997,93876
1786658021496,nexmark-auction,246491,258739,270987,12248
1786658021496,nexmark-bid,3966261,3966261,4154013,187752
1786658037703,nexmark-auction,344475,350599,368971,18372
1786658037703,nexmark-bid,5468277,5374401,5656029,281628
1786658053862,nexmark-auction,442459,442459,470940,28481
1786658053862,nexmark-bid,6970293,6782541,7171884,389343
1786658070239,nexmark-auction,540443,564939,571063,6124
1786658070239,nexmark-bid,8566185,8660061,8753937,93876
1786658086784,nexmark-auction,644551,656799,670578,13779
1786658086784,nexmark-bid,10068201,10068201,10259654,191453
1786658103329,nexmark-auction,742535,748659,775450,26791
1786658103329,nexmark-bid,11635084,11476341,11887050,410709
1786658119804,nexmark-auction,935162,1030316,1053284,22968
1786658119804,nexmark-bid,14972816,15795184,15883811,88627
1786658136466,nexmark-auction,1406346,1503231,1566903,63672
1786658136466,nexmark-bid,22641033,23046769,24017080,970311
1786658151978,nexmark-auction,1827600,1853680,1881602,27922
1786658151978,nexmark-bid,28420570,28420570,28823976,403406
1786658167737,nexmark-auction,1967615,1973739,1992111,18372
1786658167737,nexmark-bid,30355137,30261261,30544786,283525
1786658183713,nexmark-auction,2065599,2065599,2090095,24496
1786658183713,nexmark-bid,31857153,31669401,32044905,375504
1786658199467,nexmark-auction,2162052,2157459,2188079,30620
1786658199467,nexmark-bid,33359169,33077541,33546921,469380
1786658215375,nexmark-auction,2255443,2279939,2286063,6124
1786658215375,nexmark-bid,34823767,34955061,35048937,93876
1786658231231,nexmark-auction,2296780,2296780,2296780,0
1786658231231,nexmark-bid,35213220,35213220,35213220,0
1786658247208,nexmark-auction,2296780,2296780,2296780,0
1786658247208,nexmark-bid,35213220,35213220,35213220,0
1786658263228,nexmark-auction,2296780,2296780,2296780,0
1786658263228,nexmark-bid,35213220,35213220,35213220,0
1786658279723,nexmark-auction,2296780,2296780,2296780,0
1786658279723,nexmark-bid,35213220,35213220,35213220,0
