timestamp,jobId,avgCpu,avgInput,avgProcess,queue,numExecutors,numLambdaExecutors,lastActionWasScaleOut,prevFutureCompleted
1782569617551,nx-q6-nexmark-nexmark-q6-warmup-20260627-091117,0.1108,19231.0000,19704.4000,12731,12,160,false,true
1782569618548,nx-q6-nexmark-nexmark-q6-warmup-20260627-091117,0.1150,19769.0000,19467.0000,14000,12,160,false,true
1782569619548,nx-q6-nexmark-nexmark-q6-warmup-20260627-091117,0.1131,18132.0000,19466.0000,12132,12,160,false,true
1782569620548,nx-q6-nexmark-nexmark-q6-warmup-20260627-091117,0.1069,19868.0000,19449.0000,12255,12,160,false,true
1782569621548,nx-q6-nexmark-nexmark-q6-warmup-20260627-091117,0.1047,20000.0000,19625.0000,12375,12,160,false,true
1782569622548,nx-q6-nexmark-nexmark-q6-warmup-20260627-091117,0.1020,20000.0000,19523.0000,12885,12,160,false,true
1782569623548,nx-q6-nexmark-nexmark-q6-warmup-20260627-091117,0.0988,20000.0000,19732.6000,13337,12,160,false,true
1782569624548,nx-q6-nexmark-nexmark-q6-warmup-20260627-091117,0.0970,20000.0000,19687.4000,13563,12,160,false,true
1782569625548,nx-q6-nexmark-nexmark-q6-warmup-20260627-091117,0.0977,19506.0000,19651.0000,13506,12,160,false,true
1782569626548,nx-q6-nexmark-nexmark-q6-warmup-20260627-091117,0.0980,19882.0000,19539.4000,14066,12,160,false,true
1782569627548,nx-q6-nexmark-nexmark-q6-warmup-20260627-091117,0.0977,18612.0000,19477.0000,13500,12,160,false,true
1782569628548,nx-q6-nexmark-nexmark-q6-warmup-20260627-091117,0.0982,19500.0000,19467.4000,13500,12,160,false,true
1782569629548,nx-q6-nexmark-nexmark-q6-warmup-20260627-091117,0.1022,19502.0000,19512.6000,13002,12,160,false,true
1782569630548,nx-q6-nexmark-nexmark-q6-warmup-20260627-091117,0.1058,19498.0000,19600.0000,12500,12,160,false,true
1782569631548,nx-q6-nexmark-nexmark-q6-warmup-20260627-091117,0.1073,20000.0000,19701.8000,12669,12,160,false,true
