timestamp,topic,endOffset,committedOffset,consumerLogEndOffset,consumerLag
1786658997960,nexmark-auction,0,0,0,0
1786658997960,nexmark-bid,0,0,0,0
1786659014001,nexmark-auction,59697,59697,88641,28944
1786659014001,nexmark-bid,1137176,915288,1359064,443776
1786659029788,nexmark-auction,175473,168237,204417,36180
1786659029788,nexmark-bid,2912280,2579448,3134168,554720
1786659045747,nexmark-auction,285822,312957,320193,7236
1786659045747,nexmark-bid,4687384,4798328,4909272,110944
1786659061516,nexmark-auction,399789,421497,435969,14472
1786659061516,nexmark-bid,6398603,6462488,6684376,221888
1786659077499,nexmark-auction,515565,530037,551745,21708
1786659077499,nexmark-bid,8134005,8126648,8459480,332832
1786659093587,nexmark-auction,631341,638577,667521,28944
1786659093587,nexmark-bid,9901752,9790808,10234584,443776
1786659109431,nexmark-auction,747117,747117,783297,36180
1786659109431,nexmark-bid,11676856,11454968,12009688,554720
1786659126304,nexmark-auction,870129,891837,906852,15015
1786659126304,nexmark-bid,13562904,13673848,13904057,230209
1786659142199,nexmark-auction,1057995,1105027,1185795,80768
1786659142199,nexmark-bid,16942592,16942592,17815559,872967
1786659158151,nexmark-auction,1582301,1622097,1738770,116673
1786659158151,nexmark-bid,25481287,24871083,26660090,1789007
1786659173967,nexmark-auction,2114747,2114747,2190577,75830
1786659173967,nexmark-bid,33115219,32425132,33587851,1162719
1786659190075,nexmark-auction,2310753,2303517,2339697,36180
1786659190075,nexmark-bid,35652260,35319428,35874148,554720
1786659205587,nexmark-auction,2419293,2448237,2455473,7236
1786659205587,nexmark-bid,37352607,37538308,37649252,110944
1786659221527,nexmark-auction,2535069,2556777,2571249,14472
1786659221527,nexmark-bid,39091524,39202468,39424356,221888
1786659237410,nexmark-auction,2650845,2665317,2687025,21708
1786659237410,nexmark-bid,40866628,40866628,41199460,332832
1786659253296,nexmark-auction,2714160,2714160,2714160,0
1786659253296,nexmark-bid,41615500,41615500,41615500,0
1786659269155,nexmark-auction,2714160,2714160,2714160,0
1786659269155,nexmark-bid,41615500,41615500,41615500,0
1786659285063,nexmark-auction,2714160,2714160,2714160,0
1786659285063,nexmark-bid,41615500,41615500,41615500,0
1786659300968,nexmark-auction,2714160,2714160,2714160,0
1786659300968,nexmark-bid,41615500,41615500,41615500,0
